v0101,v0102,v0103,v0103A,v0103B,v0104,v0201,v02A01,v02A02,v02A03,v02B01,v0301,v0302,v04A02,V04A03,V04B01,Exception,route,soortGezag,gezag_ouder1,gezag_ouder2,gezag_niet_ouder1,gezag_niet_ouder2,Index,Uitleg
,,,,,,,,,,,,,,,,,0,N,Nee,Nee,Nee,Nee,2,Route 0 ontstaat als in de bevraging of iemand geregistreerd staat een exceptie optreedt; de exceptie is te vinden in het Exception veld
Nee,,,,,,,,,,,,,,,,,1,N,Nee,Nee,Nee,Nee,3,Persoon staat niet geregistreerd als inwoner van Nederland => soort gezag is N kan niet bepalen
Ja,,,,,,,,,,,,,,,,,2i,N,Nee,Nee,Nee,Nee,4,Persoon heeft in vraag 1b gegevens die ertoe leiden dat geen uitspraak mogelijk is; betreft vooralsnog geen gegevens in onderzoek => soort gezag is N kan niet bepalen
Ja,Nee_meerderjarig,,,,,,,,,,,,,,,,2m,NVT,Nee,Nee,Nee,Nee,5,Meerderjarig  => soort gezag is NVT niet van toepassing
Ja,Nee_overleden,,,,,,,,,,,,,,,,2o,N,Nee,Nee,Nee,Nee,6,Minderjarig; overleden  => soort gezag is N kan niet bepalen; er is nog geen beslissing genomen over de afhandeling van gezag bij overleden minderjarigen
Ja,Ja,,,,,,,,,,,,,,,,3i,N,Nee,Nee,Nee,Nee,7,Minderjarig; er staan echter gegevens in onderzoek bij vraag 1c => soort gezag is N kan niet bepalen;
Ja,Ja,Ja,,,,,,,,,,,,,,,3,N,Nee,Nee,Nee,Nee,8,Minderjarig; er zijn emigratie gegevens gevonden en buitenlandse rechtspraak of gezagswetten zijn niet meegenomen => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Nee,,,,,,,,,,,,,,4i,N,Nee,Nee,Nee,Nee,9,Minderjarig; er is een probleem met categorie 11 => soort gezag is N kan niet bepalen 
Ja,Ja,Nee,Nee,,Ja,,,,,,,,,,,,4ii,N,Nee,Nee,Nee,Nee,10,Minderjarig; staat onder toezicht; Er is een  probleem met de ingangsdatum categorie 11 indicatie gezag => soort gezag is N kan niet bepalen
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1D,,,,,4,V,Nee,Nee,Nee,Nee,11,Minderjarig; categorie 11 ouder1 en een derde => soort gezag is V voogdij
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2D,,,,,5,V,Nee,Nee,Nee,Nee,12,Minderjarig; categorie 11 ouder2 en een derde => soort gezag is V voogdij
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,D,,,,,6,V,Nee,Nee,Nee,Nee,13,Minderjarig; categorie 11 een derde => soort gezag is V voogdij
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,,,,,7i,N,Nee,Nee,Nee,Nee,14,Minderjarig; categorie 11 ouder1 en ouder2; Bij het ophalen van de persoonslijsten van de ouders zijn relevante gegevens in onderzoek aangetroffen; soort gezag is N kan niet bepalen
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Nee,,,,7,OG2,Ja,Ja,Nee,Nee,15,Minderjarig; categorie 11 ouder1 en ouder2; Beide ouders zijn bevoegd tot gezag => soort gezag is OG2 en beide ouders hebben gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_ouder1,,,,8,OG1,Nee,Ja,Nee,Nee,16,Minderjarig; categorie 11 ouder1 en ouder2; ouder1 is onbevoegd tot gezag => soort gezag is OG1 en ouder2 heeft gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_ouder2,,,,9,OG1,Ja,Nee,Nee,Nee,17,Minderjarig; categorie 11 ouder1 en ouder2; Ouder2 is onbevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,12,Ja_beiden,,,,10,G,Nee,Nee,Nee,Nee,18,Minderjarig; categorie 11 ouder1 en ouder2; Beide ouders zijn onbevoegd tot gezag => soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,,,,11i,N,Nee,Nee,Nee,Nee,19,Minderjarig; categorie 11 ouder1; persoonslijst van ouder1 heeft  gegevens in onderzoek => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee,,,11,OG1,Ja,Nee,Nee,Nee,20,Minderjarig; categorie 11 ouder1; Beide ouders zijn bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee_ouder1,,,11o1,OG1,Ja,Nee,Nee,Nee,21,Minderjarig; categorie 11 ouder1; ouder1 is bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Nee_ouder2,,,11o2,G,Nee,Nee,Nee,Nee,22,Minderjarig; categorie 11 ouder1; ouder1 is onbevoegd tot gezag =>  soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,1,,Ja,,,12,G,Nee,Nee,Nee,Nee,23,Minderjarig; categorie 11 ouder1; Beide ouders zijn onbevoegd tot gezag; Soort gezag is G Tijdelijk geen gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,,,,13i,N,Nee,Nee,Nee,Nee,24,Minderjarig; categorie 11 ouder2; bij het ophalen van de persoonslijst van ouder2 zijn relevante gegevens in onderzoek aangetroffen => soort gezag is N kan gezag niet bepalen;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Nee,,,13,OG1,Nee,Ja,Nee,Nee,25,Minderjarig; categorie 11 ouder2; Beide ouders zijn bevoegd tot gezag => soort gezag is OG1 en ouder1 heeft gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Nee_ouder1,,,13o1,G,Nee,Nee,Nee,Nee,26,Minderjarig; categorie 11 ouder2; Ouder2 is onbevoegd tot gezag =>  Soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Nee_ouder2,,,13o2,OG1,Nee,Ja,Nee,Nee,27,Minderjarig; categorie 11 ouder2; Ouder1 is onbevoegd tot gezag => soort gezag is OG1 en ouder2 heeft gezag;
Ja,Ja,Nee,Nee,,Ja,,,,,,Nee,2,,Ja,,,14,G,Nee,Nee,Nee,Nee,28,Minderjarig; categorie 11 ouder2; Beide ouders zijn onbevoegd tot gezag => soort gezag is G tijdelijk geen gezag
Ja,Ja,Nee,Nee,,Ja,,,,,,Ja,,,,,,15i,N,Nee,Nee,Nee,Nee,29,Minderjarig; categorie 11 en recentere gebeurtenis(sen); bij het bepalen van hoeveel ouders staan relevante gegevens in onderzoek => soort gezag is N kan gezag niet bepalen
Ja,Ja,Nee,Nee,,Ja,Geen_ouders,,,,,Ja,,,,,,15,G,Nee,Nee,Nee,Nee,30,Minderjarig; categorie 11 en recentere gebeurtenis(sen); Heeft geen ouders => soort gezag is G tijdelijk geen gezag;
Ja,Ja,Nee,Nee,,Ja,1_of_2_puntouders,,,,,Ja,,,,,,16,N,Nee,Nee,Nee,Nee,31,Minderjarig; categorie 11 en recentere gebeurtenis(sen); Heeft 1 of meer puntouders => soort gezag is N kan niet bepalen;
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,,Ja,,,,,,17i,N,Nee,Nee,Nee,Nee,32,Minderjarig; categorie 11 en recentere gebeurtenis(sen); heeft 1 ouder; bij de gezagsbepaling zijn relevante gegevens in onderzoek aangetroffen => soort gezag is N kan niet bepalen
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,,,,17ii,N,Nee,Nee,Nee,Nee,33,Minderjarig; categorie 11 en recentere gebeurtenis(sen); Heeft 1 ouder;  ouder heeft geen relatie; bij de gezagsbepaling zijn relevante gegevens in onderzoek aangetroffen => soort gezag is N kan niet bepalen
Ja,Ja,Nee,Nee,,Ja,Een_ouder,,,,Nee,Ja,,,Ja,,,17,G,Nee,Nee,Nee,Nee,34,Minderjarig; categorie 11 en recentere gebeurtenis(sen); Heeft 1 ouder; Ouder heeft geen relatie; Ouder is onbevoegd tot gezag => Soort gezag is G tijdelijk geen gezag
